KPD 2025.,,
Šifra,Naziv,
A,"PROIZVODI POLJOPRIVREDE, ŠUMARSTVA I RIBARSTVA",
01,"Biljni i stočarski proizvodi, proizvodi lovstva i usluge povezane s njima",
01.22.03,Svježe datulje,,,,,
01.22.04,Svježe smokve,,,,,
01.22.09,"Svježe tropsko i suptropsko voće, d. n.",,,,,
01.23,Svježi agrumi,,,,,
01.23.0,Svježi agrumi,,,,,
01.23.01,Svježi pomelo i svježi grejp,,,,,
01.23.02,Svježi limuni i svježe limete,,,,,
01.23.03,Svježe naranče,,,,,
01.23.04,"Svježe tangerine, svježe mandarine, svježe klementine",,,,,
01.23.09,"Svježi agrumi, d. n.",,,,,
01.24,Svježe jezgričasto i svježe koštuničavo voće,,,,,
01.24.1,Svježe jabuke,,,,,
01.24.10,Svježe jabuke,,,,,
01.24.2,Ostalo svježe jezgričasto i koštuničavo voće,,,,,
01.24.21,Svježe kruške,,,,,
01.24.22,Svježe dunje,,,,,
01.24.23,Svježe marelice,,,,,
01.24.24,Svježe trešnje,,,,,
01.24.25,Svježe breskve,,,,,
01.24.26,Svježe nektarine,,,,,
01.24.27,Svježe šljive,,,,,
01.24.28,Svježe divlje šljive,,,,,
01.24.29,"Ostalo svježe jezgričasto i koštuničavo voće, d. n.",,,,,
01.25,"Bobičasto, orašasto i ostalo voće",,,,,
01.25.1,Bobičasto i drugo voće roda Vaccinium,,,,,
01.25.11,Kivi,,,,,
01.25.12,Maline,,,,,
01.25.13,Jagode,,,,,
01.25.19,"Bobičasto i drugo voće roda Vaccinium, d. n.",,,,,
01.25.2,Sjemenje voća,,,,,
01.25.20,Sjemenje voća,,,,,
01.25.3,Orašasti plodovi,,,,,
01.25.31,Bademi,,,,,
01.25.32,Kesteni,,,,,
01.25.33,Lješnjaci,,,,,
01.25.34,Pistacije,,,,,
01.25.35,Orasi,,,,,
01.25.39,"Orašasti plodovi, d. n.",,,,,
01.25.9,"Ostalo bobičasto i orašasto voće i ostalo voće, d. n.",,,,,
01.25.90,"Ostalo bobičasto i orašasto voće i ostalo voće, d. n.",,,,,
01.26,Uljani plodovi,,,,,
01.26.1,Masline,,,,,
01.26.11,Stolne masline,,,,,
01.26.12,Masline za proizvodnju maslinova ulja,,,,,
01.26.2,Kokosovi orasi,,,,,
01.26.20,Kokosovi orasi,,,,,
01.26.3,Ostali uljani plodovi,,,,,
01.26.30,Ostali uljani plodovi,,,,,
01.27,Usjevi za pripremanje napitaka,,,,,
01.27.0,Usjevi za pripremanje napitaka,,,,,
01.27.01,"Kava u zrnu, nepržena",,,,,
01.27.02,"Čaj, u listovima",,,,,
01.27.03,"Mate-čaj, u listovima",,,,,
01.27.04,Kakao u zrnu,,,,,
01.27.09,"Usjevi za pripremanje napitaka, d. n.",,,,,
01.28,"Začinsko, aromatsko, ljekovito bilje i bilje za uporabu u farmaciji",,,,,
01.28.1,"Začini, neprerađeni",,,,,
01.28.11,"Papar (vrsta Piper), sirovi",,,,,
01.28.12,"Muškatni oraščić, macis i kardamon, sirovi",,,,,
01.28.13,"Anis, badijan, korijandar, kumin, kim, komorač i bobice kleke, sirovi",,,,,
01.28.14,"Cimet, sirovi",,,,,
01.28.15,"Klinčići (cijele peteljke), sirovi",,,,,
01.28.16,"Đumbir, suhi, sirovi",,,,,
01.28.17,"Vanilija, sirova",,,,,
01.28.19,"Začini, neprerađeni, d. n.",,,,,
01.28.2,Hmelj,,,,,
01.28.20,Hmelj,,,,,
01.28.3,"Bilje prvenstveno za uporabu u parfumeriji i farmaciji, za insekticide i fungicide i u slične svrhe",,,,,
01.28.30,"Bilje prvenstveno za uporabu u parfumeriji i farmaciji, za insekticide i fungicide i u slične svrhe",,,,,
01.29,Ostali višegodišnji usjevi,,,,,
01.29.1,Prirodni kaučuk,,,,,
01.29.10,Prirodni kaučuk,,,,,
01.29.2,"Božićna drvca, rezana",,,,,
01.29.20,"Božićna drvca, rezana",,,,,
01.29.3,Biljni materijali prvenstveno za uporabu u pletarstvu ili za punjenje i postavljanje ili u bojanju i štavljenju,,,,,
01.29.30,Biljni materijali prvenstveno za uporabu u pletarstvu ili za punjenje i postavljanje ili u bojanju i štavljenju,,,,,
01.3,"Sadni materijal: živo bilje, lukovice, gomolji i korijenje, reznice i cijepovi; micelij gljiva",,,,,
01.30,"Sadni materijal: živo bilje, lukovice, gomolji i korijenje, reznice i cijepovi; micelij gljiva",,,,,
01.30.0,"Sadni materijal: živo bilje, lukovice, gomolji i korijenje, reznice i cijepovi; micelij gljiva",,,,,
01.30.00,"Sadni materijal: živo bilje, lukovice, gomolji i korijenje, reznice i cijepovi; micelij gljiva",,,,,
01.4,Žive životinje i proizvodi životinjskog podrijetla,,,,,
01.41,"Mliječna goveda, živa; sirovo kravlje mlijeko",,,,,
01.41.1,"Mliječna goveda, živa",,,,,
01.41.10,"Mliječna goveda, živa",,,,,
01.41.2,Sirovo kravlje mlijeko,,,,,
01.41.20,Sirovo kravlje mlijeko,,,,,
01.41.3,Sperma mliječnih pasmina goveda,,,,,
01.41.30,Sperma mliječnih pasmina goveda,,,,,
01.42,"Ostala goveda i bivoli, živi, i njihova sperma",,,,,
01.42.1,"Ostala goveda i bivoli, živi",,,,,
01.42.11,"Ostala goveda i bivoli, osim teladi, živi",,,,,
01.42.12,"Telad goveda i bivola, živa",,,,,
01.42.2,Sperma mesnih pasmina goveda,,,,,
01.42.20,Sperma mesnih pasmina goveda,,,,,
01.43,"Konji i drugi kopitari, živi",,,,,
01.43.0,"Konji i drugi kopitari, živi",,,,,
01.43.01,"Konji, živi",,,,,
01.43.02,"Magarci, mule i mazge, živi",,,,,
01.44,"Deve i ljame, žive",,,,,
01.44.0,"Deve i ljame, žive",,,,,
01.44.00,"Deve i ljame, žive",,,,,
01.45,"Ovce i koze, žive; sirovo ovčje i kozje mlijeko i šišana ovčja i kozja vuna",,,,,
01.45.1,"Ovce i koze, žive",,,,,
01.45.11,"Ovce, žive",,,,,
01.45.12,"Koze, žive",,,,,
01.45.2,Sirovo ovčje i kozje mlijeko,,,,,
01.45.21,Sirovo ovčje mlijeko,,,,,
01.45.22,Sirovo kozje mlijeko,,,,,
01.45.3,"Šišana ovčja i kozja vuna, masna",,,,,
01.45.30,"Šišana ovčja i kozja vuna, masna",,,,,
01.46,"Svinje, žive",,,,,
01.46.0,"Svinje, žive",,,,,
01.46.00,"Svinje, žive",,,,,
01.47,"Perad, živa, i jaja",,,,,
01.47.1,"Perad, živa",,,,,
01.47.11,"Kokoši, žive",,,,,
01.47.12,"Purani, živi",,,,,
01.47.13,"Guske, žive",,,,,
01.47.14,"Patke i biserke, žive",,,,,
01.47.15,"Ostala perad, živa",,,,,
01.47.2,"Jaja u ljusci, svježa",,,,,
01.47.21,"Kokošja jaja u ljusci, svježa",,,,,
01.47.22,"Jaja ostale peradi, u ljusci, svježa",,,,,
01.47.23,Kokošja jaja za rasplod,,,,,
01.47.24,Jaja ostale peradi za rasplod,,,,,
01.48,Ostale životinje i proizvodi životinjskog podrijetla,,,,,
01.48.1,"Ostale životinje, žive",,,,,
01.48.11,"Zečevi, živi",,,,,
01.48.12,"Ostale ptice, žive",,,,,
01.48.13,"Gmazovi, živi",,,,,
01.48.14,"Pčele, žive",,,,,
01.48.19,"Ostale životinje, žive, d. n.",,,,,
01.48.2,Ostali proizvodi od uzgojenih životinja,,,,,
01.48.21,Prirodni med,,,,,
01.48.22,Ostalo sirovo mlijeko,,,,,
01.48.23,"Puževi, svježi, hlađeni, zamrznuti, sušeni, soljeni ili u salamuri, osim morskih puževa",,,,,
01.48.24,Ostali jestivi proizvodi od uzgojenih životinja,,,,,
01.48.25,Čahure dudova svilca prikladne za odmotavanje,,,,,
01.48.26,"Voskovi od insekata i spermaceti, rafinirani ili nerafinirani, obojeni ili neobojeni",,,,,
01.48.27,Životinjski embriji za razmnožavanje,,,,,
01.48.28,Ostali nejestivi proizvodi od uzgojenih životinja,,,,,
01.48.3,Sirove kože s dlakom ili vunom i ostale sirove kože bez dlake,,,,,
01.48.31,"Sirove kože s dlakom ili s vunom, osim janjeće kože",,,,,
01.48.32,Sirove janjeće kože s dlakom ili s vunom,,,,,
01.48.33,Ostale sirove kože,,,,,
01.6,Usluge u poljoprivredi i uzgoju životinja,,,,,
01.61,Pomoćne usluge za uzgoj usjeva,,,,,
01.61.0,Pomoćne usluge za uzgoj usjeva,,,,,
01.61.00,Pomoćne usluge za uzgoj usjeva,,,,,
01.62,Pomoćne usluge za uzgoj životinja; usluge pripreme stajskoga gnoja i gnojnica za proizvodnju energije,,,,,
01.62.0,Pomoćne usluge za uzgoj životinja; usluge pripreme stajskoga gnoja i gnojnica za proizvodnju energije,,,,,
01.62.01,Pomoćne usluge za uzgoj životinja,,,,,
01.62.02,Usluge pripreme stajskoga gnoja i gnojnica za proizvodnju energije,,,,,
01.63,Usluge nakon žetve usjeva i dorada sjemena za sjemenski materijal; usluge pripreme silažnog bilja za proizvodnju energije,,,,,
01.63.0,Usluge nakon žetve usjeva i dorada sjemena za sjemenski materijal; usluge pripreme silažnog bilja za proizvodnju energije,,,,,
01.63.01,Usluge koje se pružaju nakon žetve usjeva i dorada sjemena za sjemenski materijal,,,,,
01.63.02,Usluge pripreme silažnog bilja za proizvodnju energije,,,,,
01.7,"Lov, stupičarenje i usluge povezane s njima",,,,,
01.70,"Lov, stupičarenje i usluge povezane s njima",,,,,
01.70.0,"Lov, stupičarenje i usluge povezane s njima",,,,,
01.70.00,"Lov, stupičarenje i usluge povezane s njima",,,,,
02,Proizvodi šumarstva i sječe drva te usluge povezane s njima,,,,,
02.1,Usluge uzgoja i rasadnika šumskog drveća,,,,,
02.10,Usluge uzgoja i rasadnika šumskog drveća,,,,,
02.10.1,Sadnice i sjemenje šumskog drveća,,,,,
02.10.11,Sadnice šumskog drveća,,,,,
02.10.12,Sjemenje šumskog drveća,,,,,
02.10.2,Usluge rasadnika šumskog drveća,,,,,
02.10.20,Usluge rasadnika šumskog drveća,,,,,
02.10.3,Šumsko drveće,,,,,
02.10.30,Šumsko drveće,,,,,
02.2,Grubo obrađeno drvo,,,,,
02.20,Grubo obrađeno drvo,,,,,
02.20.0,Grubo obrađeno drvo,,,,,
02.20.01,Trupci četinjača,,,,,
02.20.02,Trupci tropskog drveća,,,,,
02.20.03,Trupci ostalih listača,,,,,
02.20.04,Ogrjevno drvo četinjača,,,,,
02.20.05,Ogrjevno drvo listača,,,,,
02.3,"Samonikli plodovi i proizvodi, osim drva",,,,,
02.30,"Samonikli plodovi i proizvodi, osim drva",,,,,
02.30.1,Prirodne gume,,,,,
02.30.11,"Balata, gutaperka, gvajala, čikl i slične prirodne gume",,,,,
02.30.12,"Šelak, balzami i ostale prirodne gume i smole",,,,,
02.30.2,"Prirodno pluto, sirovo ili jednostavno obrađeno",,,,,
02.30.20,"Prirodno pluto, sirovo ili jednostavno obrađeno",,,,,
02.30.3,"Dijelovi bilja, trave, mahovine i lišaji prikladni za ukrašavanje",,,,,
02.30.30,"Dijelovi bilja, trave, mahovine i lišaji prikladni za ukrašavanje",,,,,
02.30.4,Jestivi samonikli plodovi i proizvodi,,,,,
02.30.40,Jestivi samonikli plodovi i proizvodi,,,,,
02.4,Pomoćne usluge u šumarstvu,,,,,
02.40,Pomoćne usluge u šumarstvu,,,,,
02.40.0,Pomoćne usluge u šumarstvu,,,,,
02.40.00,Pomoćne usluge u šumarstvu,,,,,
03,Ribe i ostali proizvodi ribarstva; proizvodi akvakulture; pomoćne usluge u ribarstvu,,,,,
03.0,Ribe i ostali proizvodi ribarstva; proizvodi akvakulture; pomoćne usluge u ribarstvu,,,,,
03.00,Ribe i ostali proizvodi ribarstva; proizvodi akvakulture; pomoćne usluge u ribarstvu,,,,,
03.00.1,Žive ribe koji nisu prikladne za ljudsku prehranu,,,,,
03.00.11,"Ukrasne ribe, neuzgojene",,,,,
03.00.12,"Ukrasne ribe, uzgojene",,,,,
